 TEXTURE FOR PHASE  1  AT VM STRAIN     0.500
   65.00   59.57   35.09        0.0005150
  179.22   79.64   54.81        0.0000335
 -178.41   54.92   42.21        0.0000251
   41.68   52.51   53.85        0.0002056
 -140.12   85.93    1.22        0.0006416
   35.06   71.86  -10.46        0.0000401
  -70.39   67.32   96.55        0.0003737
   51.75   95.51    9.93        0.0000768
   76.11    3.88   67.90        0.0005136
 -125.77   68.63   67.52        0.0001667
  -52.25   82.21   73.41        0.0005935
   23.46   31.87   48.68        0.0000478
  112.78   63.01   46.72        0.0000678
   21.78   76.05   73.05        0.0000540
  178.80   79.42   45.02        0.0000399
    9.85   64.68   65.27        0.0000110
  109.53   54.72   60.04        0.0001141
 -132.32   65.24   65.22        0.0000277
   79.11   71.11   43.26        0.0000315
 -175.34   24.81  119.60        0.0000440
  -33.23   53.83   24.32        0.0000415
  137.84   95.31   78.85        0.0001526
  -95.00   72.95    5.08        0.0000319
   72.77   90.39   25.12        0.0000316
  -78.02   61.38   49.28        0.0002464
   26.24   87.03   25.83        0.0004156
 -144.54   79.03   79.33        0.0000159
   41.40   81.17   -0.37        0.0003095
  137.64    0.46    0.00        0.0000922
  174.51   11.38  -34.60        0.0002437
  178.57   23.01   33.87        0.0000157
  -30.16   60.02   27.30        0.0000069
  162.36   13.15  -12.94        0.0002819
  -75.56   83.88   90.23        0.0000362
    3.89   94.31   28.17        0.0000290
  -94.50   67.26   27.73        0.0000110
  168.36   30.12   41.98        0.0001208
 -177.63   93.31   32.08        0.0000291
  129.96   33.07   38.60        0.0000922
 -107.88   81.84   75.51        0.0000284
   57.02   31.98   37.65        0.0000284
   50.59   55.51   49.47        0.0004453
   -9.56   21.36   48.03        0.0000332
  146.77   67.04   17.82        0.0000098
    0.96    5.90   53.66        0.0000310
  -33.93   50.78   30.96        0.0000140
  -87.81   70.18   50.22        0.0000071
  177.44   86.78   43.84        0.0000758
   74.33   46.85   26.94        0.0000889
   92.56   48.39   86.24        0.0000160
  169.86   37.54  -18.02        0.0001640
  179.99   15.28   41.21        0.0000173
  103.23   74.30   65.96        0.0000593
   56.27   61.13   52.97        0.0000981
 -101.67   63.29   36.42        0.0000256
  179.50   21.12  -21.76        0.0000494
 -100.49   43.94   16.67        0.0000798
 -141.08   70.03   72.56        0.0000211
 -175.89   62.17   49.07        0.0000286
   -2.77   81.44   32.69        0.0000174
   32.97   69.57   -8.11        0.0001009
 -145.55   66.75   31.05        0.0003917
 -178.70   39.16   52.07        0.0000389
  -83.88   12.72   10.87        0.0000439
    0.47   50.82   53.33        0.0000097
  121.71   12.50   -8.16        0.0002699
  -98.93   69.10   52.58        0.0000106
  -66.58   70.62   33.71        0.0000089
 -113.80   88.72    0.05        0.0000341
 -106.91   71.67   77.34        0.0001281
  -59.64   60.35   39.10        0.0000170
 -125.29   41.34   42.55        0.0000516
  -81.09   32.48   69.82        0.0003680
  174.32   33.90   30.81        0.0000122
  -84.22   64.34   66.49        0.0000169
  -31.71   83.17   88.51        0.0004242
 -177.41   19.12   42.53        0.0000097
 -142.34   88.07    4.90        0.0006072
  126.21   80.72    8.32        0.0000166
  121.59   10.82   30.44        0.0005457
   18.08   69.43   67.85        0.0000495
   49.52   76.92   64.82        0.0003786
  141.44   31.62   40.82        0.0000175
    2.20   18.19   50.92        0.0000174
    6.84   32.05   44.31        0.0002197
  -90.74   18.23    4.69        0.0000417
    8.17   67.04   64.18        0.0000128
    3.58   35.28   27.08        0.0001118
  123.93   39.31   49.47        0.0000166
 -174.25    6.63   54.47        0.0000393
    2.12   47.86   55.01        0.0000075
  143.27   84.42   89.85        0.0001594
 -102.09   61.85   22.75        0.0000307
 -127.42   78.11   78.52        0.0001260
 -119.66   84.29   81.22        0.0000249
  115.09   94.47   68.33        0.0000655
  -82.70   67.25   41.83        0.0000299
   27.62   57.42    8.40        0.0003299
 -177.23   60.27   52.47        0.0000116
  130.27   58.27   41.44        0.0005917
  -18.68    3.00  -17.18        0.0000287
  -92.50   56.15   14.50        0.0001350
  -86.05   63.65   14.00        0.0001135
 -179.28   33.27   49.63        0.0000319
    1.55   36.02   45.86        0.0000259
  -28.19   66.56   18.92        0.0000168
 -147.51   53.77  -11.41        0.0002325
  126.22   60.16   33.53        0.0000080
   44.54   18.63   68.04        0.0003809
  119.23   66.48   33.22        0.0000238
   10.02   77.85   17.70        0.0000833
   39.55   44.11   52.75        0.0000152
   97.85   28.45   -5.24        0.0000315
   92.38   67.24   77.12        0.0000343
  -53.97   92.42   82.18        0.0004312
  -79.49   59.77   57.73        0.0001053
   -2.39   56.20   61.79        0.0000431
 -172.46   74.20   68.35        0.0000347
  -18.76   37.95   41.50        0.0000276
  -54.18   72.02   22.33        0.0000093
  119.77   44.37   53.68        0.0000255
   61.90   54.33   41.21        0.0000887
   -0.66   37.34   39.75        0.0000342
 -179.58   52.51   35.93        0.0000226
   -2.79   65.41   46.07        0.0000565
 -113.09   56.21   41.91        0.0001556
 -109.07   37.05   18.81        0.0000268
